Time,HA_MISG1,HpA_MISG1,HA_MISG2,HpA_MISG2,HA_MISG3,HpA_MISG3,HA_MISG4,HpA_MISG4,HA_MISG5,HpA_MISG5,HA_MISG6,HpA_MISG6,HA_MISG7,HpA_MISG7,HA_MISG8,HpA_MISG8,HA_MISG9,HpA_MISG9
1460.0,16588.3,9554.38,16744.7,9610.8,16886.5,9626.56,16981.4,9665.92,17074.2,9730.37,18355.5,19832.1,18552.5,20007.8,18681.0,20126.8,18776.6,20226.5
1480.0,16600.0,9544.49,16773.6,9613.55,16909.7,9633.44,16984.9,9658.76,17121.7,9746.85,18348.5,19822.6,18550.5,20013.0,18694.0,20139.7,18804.4,20214.6
1500.0,16620.4,9544.44,16796.4,9607.97,16910.3,9633.09,16990.2,9669.26,17129.0,9741.69,18366.9,19840.3,18572.9,20001.1,18710.2,20134.8,18821.3,20233.4
1520.0,16621.3,9549.7,16788.6,9609.84,16924.4,9639.3,17019.9,9663.57,17143.5,9740.05,18367.0,19845.2,18569.0,20023.7,18729.8,20139.9,18825.5,20250.8
1540.0,16635.1,9556.16,16797.5,9618.74,16957.5,9643.93,17024.9,9670.91,17146.5,9744.03,18399.7,19857.0,18593.4,20042.7,18743.3,20170.4,18864.6,20241.9
1560.0,16649.8,9549.79,16828.2,9618.16,16966.3,9645.96,17027.9,9670.16,17143.0,9744.89,18396.6,19868.7,18589.2,20036.3,18737.3,20151.1,18845.0,20253.3
1580.0,16663.0,9553.33,16831.8,9612.67,16995.4,9649.54,17036.6,9681.11,17149.0,9743.9,18398.7,19882.3,18617.5,20056.8,18759.0,20169.5,18878.9,20265.1
1600.0,16653.0,9552.27,16847.4,9620.57,16989.3,9653.37,17040.6,9679.26,17174.8,9747.07,18437.3,19880.9,18614.3,20058.9,18757.1,20159.0,18872.3,20252.9
1620.0,16683.8,9556.05,16849.0,9632.17,17013.4,9654.08,17051.3,9686.56,17199.5,9751.16,18436.7,19887.2,18618.1,20052.3,18761.7,20186.5,18865.9,20276.0
1640.0,16686.3,9562.51,16880.9,9620.78,16993.9,9656.59,17076.1,9683.36,17190.7,9751.73,18463.1,19905.0,18608.0,20051.0,18775.6,20189.0,18890.8,20267.3
1660.0,16696.0,9569.13,16870.7,9634.23,17004.6,9662.63,17082.7,9683.1,17201.7,9755.49,18468.5,19909.5,18618.8,20071.0,18794.6,20200.3,18920.7,20267.6
1680.0,16686.8,9561.18,16874.4,9628.25,17023.5,9666.35,17100.5,9683.07,17189.7,9750.92,18455.4,19924.3,18641.4,20079.0,18783.4,20193.1,18898.5,20295.7
1700.0,16695.1,9569.22,16898.3,9630.49,17015.7,9662.07,17119.2,9684.08,17197.6,9755.57,18467.0,19906.4,18653.9,20079.0,18828.6,20190.9,18901.9,20278.1
1720.0,16730.0,9573.06,16903.5,9625.13,17040.3,9663.84,17114.1,9682.84,17214.1,9750.97,18493.0,19922.8,18657.0,20086.4,18806.3,20203.7,18915.3,20302.5
